FIPS,County
36021,Columbia
36085,Richmond
36091,Saratoga
36073,Orleans
36045,Jefferson
36027,Dutchess
36041,Hamilton
36063,Niagara
36113,Warren
36013,Chautauqua
36043,Herkimer
36017,Chenango
36095,Schoharie
36079,Putnam
36089,St. Lawrence
36107,Tioga
36029,Erie
36019,Clinton
36071,Orange
36117,Wayne
36005,Bronx
36109,Tompkins
36039,Greene
36025,Delaware
36119,Westchester
36083,Rensselaer
36097,Schuyler
36115,Washington
36055,Monroe
36123,Yates
36103,Suffolk
36051,Livingston
36121,Wyoming
36015,Chemung
36037,Genesee
36099,Seneca
36075,Oswego
36007,Broome
36077,Otsego
36009,Cattaraugus
36049,Lewis
36087,Rockland
36003,Allegany
36031,Essex
36033,Franklin
36067,Onondaga
36047,Kings
36093,Schenectady
36065,Oneida
36053,Madison
36069,Ontario
36023,Cortland
36035,Fulton
36001,Albany
36011,Cayuga
36081,Queens
36111,Ulster
36061,New York
36059,Nassau
36101,Steuben
36105,Sullivan
36057,Montgomery
